# All channel videos for pattern '(19th Chopin Competition, Warsaw)'
# matched	published_at	video_id	title
true	2025-10-20T23:54:39Z	8gphqTkmnR8	SHIORI KUWAHARA – final round (19th Chopin Competition, Warsaw)
true	2025-10-20T21:34:03Z	_QgvXbaLFPs	KEVIN CHEN – final round (19th Chopin Competition, Warsaw)
true	2025-10-20T21:29:39Z	QklhpTBNp3s	DAVID KHRIKULI – final round (19th Chopin Competition, Warsaw)
false	2025-10-20T20:07:26Z	mjxkbl0iSVE	The 19th International Fryderyk Chopin Piano Competition (final), 20.10.2025
false	2025-10-20T20:01:07Z	hEX_SeTf2aI	Behind the scenes: Media na tropie Chopina | The media on Chopin's trail
false	2025-10-20T08:03:25Z	rRUiG7qBbOI	Krystian Zimerman w rozmowie z Moniką Olejnik
true	2025-10-20T05:09:40Z	BOCTW4qyDqY	PIOTR ALEXEWICZ – final round (19th Chopin Competition, Warsaw)
true	2025-10-19T22:59:44Z	5duUDPKSrKk	WILLIAM YANG – final round (19th Chopin Competition, Warsaw)
true	2025-10-19T21:06:00Z	1WdkvGV7sBY	MIYU SHINDO – final round (19th Chopin Competition, Warsaw)
false	2025-10-19T20:57:09Z	6riEq01p_Eg	The 19th International Fryderyk Chopin Piano Competition (final), 19.10.2025
true	2025-10-19T20:03:02Z	omqTpiBXfnA	ZITONG WANG – final round (19th Chopin Competition, Warsaw)
true	2025-10-19T11:30:54Z	tYfpS1jt8ck	TIANYOU LI  – final round (19th Chopin Competition, Warsaw)
false	2025-10-19T11:30:35Z	Z7C_gFvIYes	Behind the scenes: Co czuje pianista? | What does a pianist feel?
true	2025-10-19T08:03:06Z	xsVgT3vtruM	VINCENT ONG – final round (19th Chopin Competition, Warsaw)
true	2025-10-19T01:46:32Z	_G0TBsTYjvQ	TIANYAO LYU – final round (19th Chopin Competition, Warsaw)
true	2025-10-18T21:45:40Z	GFTHzzFA-TQ	ERIC LU – final round (19th Chopin Competition, Warsaw)
false	2025-10-18T21:07:42Z	DbTlX9Q39Ok	The 19th International Fryderyk Chopin Piano Competition (final), 18.10.2025
true	2025-10-17T01:47:47Z	n7VWMCFt34s	ERIC LU – third round (19th Chopin Competition, Warsaw)
false	2025-10-16T23:01:10Z	vs3WMgoyl90	Behind the scenes: Wydarzenia towarzyszące Konkursowi | Events accompanying the Competition
true	2025-10-16T21:59:41Z	UmAXms3GHbU	KEVIN CHEN – third round (19th Chopin Competition, Warsaw)
false	2025-10-16T21:16:35Z	kNpB_eT5QYQ	ANNOUNCEMENT OF THE RESULTS OF THE THIRD STAGE | OGŁOSZENIE WYNIKÓW III ETAPU
true	2025-10-16T20:23:08Z	dchmWEv97B4	PIOTR ALEXEWICZ – third round (19th Chopin Competition, Warsaw)
true	2025-10-16T19:59:50Z	xSQod9T9FKE	WILLIAM YANG – third round (19th Chopin Competition, Warsaw)
false	2025-10-16T19:56:35Z	7bpIqiXA4DU	The 19th International Fryderyk Chopin Piano Competition (evening session), 16.10.2025
true	2025-10-16T17:16:25Z	vooH1f-fz0s	YIFAN WU – third round (19th Chopin Competition, Warsaw)
true	2025-10-16T15:15:21Z	vivcHGo0Wk8	TOMOHARU USHIDA – third round (19th Chopin Competition, Warsaw)
true	2025-10-16T13:20:25Z	ptPMFByeAEk	ZITONG WANG – third round (19th Chopin Competition, Warsaw)
false	2025-10-16T13:06:04Z	VQ3KdssU2RM	Chopin Talk Specialne Spotkanie / Special meeting With Sławosz Uznański-Wiśniewski 16.10.2025
false	2025-10-16T11:55:34Z	_T4jvwH3SlE	The 19th International Fryderyk Chopin Piano Competition (morning session), 16.10.2025
true	2025-10-15T22:49:20Z	TKoNyNP2__A	MIYU SHINDO – third round (19th Chopin Competition, Warsaw)
true	2025-10-15T22:34:58Z	OiA9HGAeVl4	PIOTR PAWLAK – third round (19th Chopin Competition, Warsaw)
true	2025-10-15T21:58:06Z	tf3GdER4G9k	YEHUDA PROKOPOWICZ – third round (19th Chopin Competition, Warsaw)
false	2025-10-15T19:51:04Z	SJ9EaIgxB8I	The 19th International Fryderyk Chopin Piano Competition (evening session), 15.10.2025
true	2025-10-15T17:31:56Z	jN8y20xwVp4	VINCENT ONG – third round (19th Chopin Competition, Warsaw)
true	2025-10-15T15:31:31Z	1kFLATA2wqM	TIANYAO LYU – third round (19th Chopin Competition, Warsaw)
false	2025-10-15T13:50:06Z	oehWxpfiR6U	Behind the scenes: Oczami publiczności | Silent Witnesses of The Chopin Competition
true	2025-10-15T12:17:28Z	D-Zs-VO1xp0	XIAOXUAN LI – third round (19th Chopin Competition, Warsaw)
false	2025-10-15T11:12:38Z	CfCYN5D0q7Y	The 19th International Fryderyk Chopin Piano Competition (morning session), 15.10.2025
true	2025-10-14T22:02:57Z	hX6Quw2vAlU	HYUK LEE – third round (19th Chopin Competition, Warsaw)
true	2025-10-14T21:02:39Z	_kkhNMN_WyA	TIANYOU LI – third round (19th Chopin Competition, Warsaw)
false	2025-10-14T19:51:34Z	hrE0OZpVMfo	The 19th International Fryderyk Chopin Piano Competition (evening session), 14.10.2025
true	2025-10-14T19:15:24Z	SAxhlpi-F8Y	SHIORI KUWAHARA – third round (19th Chopin Competition, Warsaw)
true	2025-10-14T18:42:37Z	Rf4NLeqpSEY	HYO LEE – third round (19th Chopin Competition, Warsaw)
true	2025-10-14T15:32:39Z	yLyjR-iEPPE	DAVID KHRIKULI – third round (19th Chopin Competition, Warsaw)
true	2025-10-14T14:59:58Z	YdPN-49d3JE	YANG (JACK) GAO – third round (19th Chopin Competition, Warsaw)
true	2025-10-14T13:52:59Z	1Tc0YM1FlM0	ERIC GUO – third round (19th Chopin Competition, Warsaw)
false	2025-10-14T11:48:42Z	HVa9JAt8QKY	The 19th International Fryderyk Chopin Piano Competition (morning session), 14.10.2025
false	2025-10-13T18:57:23Z	VUURsCZ6mbs	LIS + Phew + Mayu Shirai - Fryderyk LIS | Expo 2025, Osaka
false	2025-10-13T10:00:38Z	KcmLakJKvUQ	The Evolution of the Chopin Competition | 19th Chopin Competition
true	2025-10-12T23:19:44Z	Kcv0suUQNYQ	WILLIAM YANG – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T22:28:49Z	WwS5RfoFM-M	MIKI YAMAGATA – second round (19th Chopin Competition, Warsaw)
false	2025-10-12T21:32:02Z	t80-G_y97l4	ANNOUNCEMENT OF THE RESULTS OF THE SECOND STAGE | OGŁOSZENIE WYNIKÓW II ETAPU
true	2025-10-12T21:02:33Z	X7mObhzQnvk	YIFAN WU – second round (19th Chopin Competition, Warsaw)
false	2025-10-12T20:14:50Z	yoaXumdcwU0	The 19th International Fryderyk Chopin Piano Competition (evening session), 12.10.2025
true	2025-10-12T20:05:30Z	uX0ruB31hyg	ZITONG WANG – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T19:59:00Z	Qc4W05xeXWQ	TOMOHARU USHIDA – second round (19th Chopin Competition, Warsaw)
false	2025-10-12T19:30:02Z	CID2Mt6Jg5E	Behind the scenes: Konkurs — jak to się robi? | Chopin Competition – how is it done?
true	2025-10-12T15:42:29Z	e22IcvM9yx8	MIYU SHINDO – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T14:32:15Z	7Q82yjGfl6s	GABRIELE STRATA – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T13:40:26Z	TvhdafN3H4s	ANTHONY RATINOV – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T13:16:59Z	bS1Djz_RsM8	HAO RAO – second round (19th Chopin Competition, Warsaw)
false	2025-10-12T13:10:48Z	58_jNp7lVpM	The 19th International Fryderyk Chopin Piano Competition (morning session), 12.10.2025
true	2025-10-12T12:34:17Z	KnptD5WIvlc	YEHUDA PROKOPOWICZ – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T08:11:07Z	kpwWkURj6eA	PIOTR PAWLAK – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T07:09:03Z	d7Oi0G_UpTY	VINCENT ONG – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T04:55:30Z	zXi1PZuy4JA	YUMEKA NAKAGAWA – second round (19th Chopin Competition, Warsaw)
true	2025-10-12T02:22:36Z	z1UHqZ92GyQ	NATHALIA MILSTEIN – second round (19th Chopin Competition, Warsaw)
true	2025-10-11T22:52:24Z	Jw1jJqwz13Q	RUBEN MICIELI – second round (19th Chopin Competition, Warsaw)
false	2025-10-11T20:20:47Z	w0M3m4RDilY	The 19th International Fryderyk Chopin Piano Competition (evening session), 11.10.2025
true	2025-10-11T17:15:16Z	Uy6JUrWbHls	TIANYAO LYU – second round (19th Chopin Competition, Warsaw)
true	2025-10-11T15:24:58Z	GYrkIocrmXc	ERIC LU – second round (19th Chopin Competition, Warsaw)
true	2025-10-11T15:00:35Z	L-Dj2mq_JEI	PHILIPP LYNOV – second round (19th Chopin Competition, Warsaw)
true	2025-10-11T14:29:16Z	MJhqz74E-38	ZHEXIANG LI – second round (19th Chopin Competition, Warsaw)
false	2025-10-11T13:29:58Z	nA5D8fiE9hs	The 19th International Fryderyk Chopin Piano Competition (morning session), 11.10.2025
true	2025-10-11T12:16:27Z	p1MQmMFUozw	XIAOXUAN LI – second round (19th Chopin Competition, Warsaw)
true	2025-10-11T12:08:48Z	uNU3Hk37T04	HYUK LEE – second round (19th Chopin Competition, Warsaw)
true	2025-10-10T22:03:17Z	HxNhoMMXw58	TIANYOU LI – second round (19th Chopin Competition, Warsaw)
true	2025-10-10T21:38:47Z	YXTaHbdfQqU	KWANWOOK LEE – second round (19th Chopin Competition, Warsaw)
true	2025-10-10T21:23:14Z	uD1OQNhCj3Y	HYO LEE – second round (19th Chopin Competition, Warsaw)
false	2025-10-10T20:11:55Z	73rkYwzXBA4	The 19th International Fryderyk Chopin Piano Competition (evening session), 10.10.2025
true	2025-10-10T20:06:31Z	02ztjElgjXw	DAVID KHRIKULI – second round (19th Chopin Competition, Warsaw)
true	2025-10-10T19:02:10Z	Tq02Z3Pvz_g	SHIORI KUWAHARA – second round (19th Chopin Competition, Warsaw)
true	2025-10-10T18:51:52Z	wLJ9bpE0WMA	ADAM KAŁDUŃSKI – second round (19th Chopin Competition, Warsaw)
