# Unmatched videos for pattern '(19th Chopin Competition, Warsaw)'
# published_at	video_id	title
2025-10-20T20:07:26Z	mjxkbl0iSVE	The 19th International Fryderyk Chopin Piano Competition (final), 20.10.2025
2025-10-20T20:01:07Z	hEX_SeTf2aI	Behind the scenes: Media na tropie Chopina | The media on Chopin's trail
2025-10-20T08:03:25Z	rRUiG7qBbOI	Krystian Zimerman w rozmowie z Moniką Olejnik
2025-10-19T20:57:09Z	6riEq01p_Eg	The 19th International Fryderyk Chopin Piano Competition (final), 19.10.2025
2025-10-19T11:30:35Z	Z7C_gFvIYes	Behind the scenes: Co czuje pianista? | What does a pianist feel?
2025-10-18T21:07:42Z	DbTlX9Q39Ok	The 19th International Fryderyk Chopin Piano Competition (final), 18.10.2025
2025-10-16T23:01:10Z	vs3WMgoyl90	Behind the scenes: Wydarzenia towarzyszące Konkursowi | Events accompanying the Competition
2025-10-16T21:16:35Z	kNpB_eT5QYQ	ANNOUNCEMENT OF THE RESULTS OF THE THIRD STAGE | OGŁOSZENIE WYNIKÓW III ETAPU
2025-10-16T19:56:35Z	7bpIqiXA4DU	The 19th International Fryderyk Chopin Piano Competition (evening session), 16.10.2025
2025-10-16T13:06:04Z	VQ3KdssU2RM	Chopin Talk Specialne Spotkanie / Special meeting With Sławosz Uznański-Wiśniewski 16.10.2025
2025-10-16T11:55:34Z	_T4jvwH3SlE	The 19th International Fryderyk Chopin Piano Competition (morning session), 16.10.2025
2025-10-15T19:51:04Z	SJ9EaIgxB8I	The 19th International Fryderyk Chopin Piano Competition (evening session), 15.10.2025
2025-10-15T13:50:06Z	oehWxpfiR6U	Behind the scenes: Oczami publiczności | Silent Witnesses of The Chopin Competition
2025-10-15T11:12:38Z	CfCYN5D0q7Y	The 19th International Fryderyk Chopin Piano Competition (morning session), 15.10.2025
2025-10-14T19:51:34Z	hrE0OZpVMfo	The 19th International Fryderyk Chopin Piano Competition (evening session), 14.10.2025
2025-10-14T11:48:42Z	HVa9JAt8QKY	The 19th International Fryderyk Chopin Piano Competition (morning session), 14.10.2025
2025-10-13T18:57:23Z	VUURsCZ6mbs	LIS + Phew + Mayu Shirai - Fryderyk LIS | Expo 2025, Osaka
2025-10-13T10:00:38Z	KcmLakJKvUQ	The Evolution of the Chopin Competition | 19th Chopin Competition
