rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
1,"Khrikuli, David",stage2,0.9651319765564418,0.9824783477681547,21.35,5,2,236,4493.0,True,True
2,"Lu, Eric",stage2,0.9362335739742957,0.966777731955705,23.03,1,2,220,5051.0,True,True
3,"Lee, Hyo",stage2,0.9336724706041943,0.9504043873255041,20.79,12,1,201,4491.0,True,True
4,"Shindo, Miyu",stage2,0.9283352091238911,0.9818026644462948,20.82,11,2,195,6002.0,True,True
5,"Prokopowicz, Yehuda",stage2,0.9144552121033599,0.9807406573615488,20.36,19,1,133,2208.0,True,True
6,"Ong, Vincent",stage2,0.8999192808196453,0.9823972602739726,21.23,7,2,213,7299.0,True,True
7,"Kałduński, Adam",stage2,0.8994562255334925,0.9604002111354395,19.72,28,0,252,6389.0,False,True
8,"Wang, Zitong",stage2,0.8876645198070547,0.9804591564335291,20.69,15,2,145,1862.0,True,True
9,"Lyu, Tianyao",stage2,0.8577680504163814,0.9682071208490243,20.78,14,2,485,8712.0,True,True
10,"Yang, William",stage2,0.850881124136414,0.9418157181571815,22.38,3,2,105,1841.0,True,True
11,"Micieli, Ruben",stage2,0.8384854920580745,0.9628096479791395,19.12,33,0,103,1534.0,False,True
12,"Chen, Kevin",stage2,0.8223667899286473,0.9678061726061065,22.41,2,2,519,10544.0,True,True
13,"Lee, Hyuk",stage2,0.816495193429843,0.9575517075517076,20.79,13,1,318,10388.0,True,True
14,"Pawlak, Piotr",stage2,0.8113481046260131,0.9899471657929226,20.59,17,1,422,12192.0,True,True
15,"Nakagawa, Yumeka",stage2,0.8029504869111956,0.955265658942795,19.98,25,0,386,11033.0,False,True
16,"Gao, Yang (Jack)",stage2,0.7884664339306153,0.9553539861563517,21.18,8,1,75,1222.0,True,True
17,"Lee, Kwanwook",stage2,0.7858403972418114,0.9381081322609472,18.72,39,0,257,11188.0,False,True
18,"Alexewicz, Piotr",stage2,0.7834184273822179,0.9750898472596586,21.08,10,2,88,1105.0,True,True
19,"Chang, Kai-Min",stage2,0.7769862484066604,0.9451447652231624,20.52,18,0,332,12051.0,False,True
20,"Li, Tianyou",stage2,0.7727398617999044,0.9888833499501496,21.86,4,2,66,1003.0,True,True
21,"Strata, Gabriele",stage2,0.727333736068745,0.7699709664039815,20.63,16,0,154,2401.0,False,False
22,"Jin, Zihan",stage2,0.7237834170634598,0.9590531561461794,19.14,32,0,71,896.0,False,False
23,"Zhang, Jacky",stage2,0.7223110475334137,0.952046933951965,18.8,38,0,61,911.0,False,False
24,"Bao, Yanyan",stage2,0.7140743175880543,0.9132688492063492,18.82,36,0,99,1005.0,False,False
25,"Yamagata, Miki",stage2,0.709523812455126,0.886027397260274,20.35,20,0,62,1092.0,False,False
26,"Rao, Hao",stage2,0.6905551673901741,0.9237958715596329,19.15,31,0,62,870.0,False,False
27,"Kuwahara, Shiori",stage2,0.6443995662885065,0.9824706846551506,21.28,6,2,508,23789.0,True,False
28,"Lynov, Philipp",stage2,0.6173094153131266,0.9252358490566038,18.71,40,0,57,636.0,False,False
29,"Ushida, Tomoharu",stage2,0.592935720725286,0.9691626402687442,21.08,9,1,458,27974.0,True,False
30,"Aumiller, Jonas",stage2,0.5896135127045263,0.9239168110918544,19.81,27,0,68,571.0,False,False
31,"Chen, Xuehong",stage2,0.5834238491150944,0.994842105263158,19.9,26,0,37,473.0,False,False
32,"Li, Zhexiang",stage2,0.5741114930095172,0.9284709193245778,19.08,35,0,56,531.0,False,False
33,"Wu, Yifan",stage2,0.5161748014322609,0.9901856763925729,20.32,22,1,51,374.0,True,False
34,"Li, Xiaoxuan",stage2,0.4393874386673578,0.9805555555555555,20.3,23,1,44,286.0,True,False
35,"Milstein, Nathalia",stage2,0.39864884759980823,0.9317095588235295,19.26,30,0,38,265.0,False,False
36,"Deng, Yubo",stage2,0.33352501582258653,0.9722513089005235,19.09,34,0,32,189.0,False,False
37,"Ratinov, Anthony",stage2,0.2923184033229764,0.9503048780487805,20.13,24,0,32,162.0,False,False
38,"Guo, Eric",stage2,0.2567687402933741,0.8787096774193548,20.32,21,1,30,151.0,True,False
39,"Hu, Xiaoyu",stage2,0.17803949127770122,0.881578947368421,18.81,37,0,16,94.0,False,False
40,"Chen, Zixi",stage2,0.15121061416850867,0.8470588235294118,19.29,29,0,22,81.0,False,False
