rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
1,"Kyomasu, Shushi",stage1,0.9103314528883555,0.9338038879831588,19.3,44,0,119,5008.0,False,True
2,"Lyu, Tianyao",stage1,0.8829059226699241,0.8842205576250131,22.06,4,3,242,3923.0,True,True
3,"Nakagawa, Yumeka",stage1,0.8713991185150213,0.9066057511087106,19.78,35,1,213,5590.0,True,True
4,"Nakashima, Yulia",stage1,0.8671151756811725,0.8728558615081556,17.56,78,0,211,4245.0,False,True
5,"Yamazaki, Ryota",stage1,0.8584165966042894,0.900101464257016,17.54,79,0,125,2680.0,False,True
6,"Wang, Zitong",stage1,0.8454388947451598,0.8920735454459905,21.03,15,3,189,2566.0,True,True
7,"Basista, Michał",stage1,0.8256663591226373,0.8350012809919299,17.87,71,0,222,3577.0,False,True
8,"Chen, Kevin",stage1,0.8201702401146541,0.8573858980134367,22.93,1,3,285,5788.0,True,True
9,"Prokopowicz, Yehuda",stage1,0.8148784398478758,0.8908841660323935,20.73,22,2,125,2060.0,True,True
10,"Ong, Vincent",stage1,0.8137208849875819,0.8405066555308193,22.07,3,3,152,5292.0,True,True
11,"Shindo, Miyu",stage1,0.8133973321121619,0.8904912127017696,21.92,6,3,316,7755.0,True,True
12,"Yamagata, Miki",stage1,0.8129874778891468,0.8959952704100698,19.61,38,1,124,1970.0,True,True
13,"Kałduński, Adam",stage1,0.8121133023823333,0.8442719208705023,21.44,9,1,324,5558.0,True,True
14,"Khrikuli, David",stage1,0.8109925678141701,0.830670348981824,20.52,25,3,159,3204.0,True,True
15,"Lee, Hyo",stage1,0.7953829935060662,0.7989178352982911,21.13,12,2,188,3812.0,True,True
16,"Lee, Hyuk",stage1,0.7933732740149883,0.8779747822870964,21.13,13,2,310,8227.0,True,True
17,"Wierciński, Andrzej",stage1,0.781695669416526,0.8145986664324868,19.02,50,0,172,2802.0,False,True
18,"Chang, Kai-Min",stage1,0.7810459946673146,0.7888200647958484,19.59,40,1,151,3621.0,True,True
19,"Kobayashi, Kaito",stage1,0.7773701129530025,0.852398719029926,18.96,52,0,95,2026.0,False,True
20,"Sejbuk, Zuzanna",stage1,0.761495193001882,0.8890974741305734,17.72,74,0,120,1488.0,False,True
21,"Lee, Kwanwook",stage1,0.7490783491233176,0.8624648793036938,19.87,33,1,277,10008.0,True,True
22,"Zhang, Jacky",stage1,0.7447879790599221,0.8794282553593313,20.75,21,1,115,1418.0,True,True
23,"Hsieh, Wei-Ting",stage1,0.7436398599093298,0.805089513569811,19.02,49,0,134,2180.0,False,True
24,"Nishimoto, Yuya",stage1,0.7363763920180988,0.7584559740881393,18.84,56,0,141,3063.0,False,True
25,"Pawlak, Piotr",stage1,0.7266121306055452,0.8641739053338537,20.92,18,2,555,11519.0,True,True
26,"Lu, Eric",stage1,0.7178248556621779,0.7733659932036611,21.82,7,3,350,7062.0,True,True
27,"Alexewicz, Piotr",stage1,0.7089419703350556,0.8784728761194112,21.02,16,3,80,1174.0,True,True
28,"Strata, Gabriele",stage1,0.7034696413800959,0.8280289479148688,19.84,34,1,175,1437.0,True,True
29,"Rao, Hao",stage1,0.6677387065828437,0.9133671268314154,21.27,10,1,66,851.0,True,True
30,"Ferro, Alberto",stage1,0.6418716835566107,0.8403316065592796,18.98,51,0,91,973.0,False,True
31,"Widlarz, Jan",stage1,0.6375340275441653,0.8338278212086104,18.5,63,0,501,16240.0,False,True
32,"Dubiel, Mateusz",stage1,0.6359024344651147,0.646804564750036,19.12,46,0,210,4664.0,False,True
33,"Fan, Yu-Ang",stage1,0.6011187294030451,0.7391278717764894,17.71,75,0,113,1208.0,False,True
34,"Yang, William",stage1,0.566725466605301,0.7647220034900687,20.22,31,3,73,886.0,True,True
35,"Kłeczek, Antoni",stage1,0.5513491067721205,0.87864423717918,17.64,76,0,65,574.0,False,True
36,"Bao, Yanyan",stage1,0.5312307848318796,0.8683381655117052,20.35,29,1,86,542.0,True,True
37,"Wu, Yifan",stage1,0.5259893102019414,0.848020185017543,21.47,8,2,58,559.0,True,True
38,"Cooper, Diana",stage1,0.5259300863878807,0.6693993277444844,18.71,58,0,131,1068.0,False,True
39,"Jin, Zihan",stage1,0.5258116207990238,0.8845218453629341,20.53,24,1,48,509.0,True,True
40,"Milstein, Nathalia",stage1,0.5163944209823116,0.8921935228173601,21.26,11,1,68,481.0,True,True
41,"Lynov, Philipp",stage1,0.5087910648723188,0.8422966449328184,21.0,17,1,60,527.0,True,False
42,"Shimada, Jun",stage1,0.5038017850256675,0.7888468435177433,19.25,45,0,35,598.0,False,False
43,"Wierciński, Krzysztof",stage1,0.5033779816674712,0.8340583543921686,18.4,66,0,49,526.0,False,False
44,"Ushida, Tomoharu",stage1,0.49945614735032084,0.8660320761838488,20.81,20,2,584,33203.0,True,False
45,"Kuwahara, Shiori",stage1,0.4969126551167191,0.8681118095538032,22.03,5,3,881,33723.0,True,False
46,"Aumiller, Jonas",stage1,0.4957345698129942,0.8377730175411909,20.46,27,1,66,504.0,True,False
47,"Micieli, Ruben",stage1,0.49388604666079106,0.8747740862014777,20.61,23,1,59,457.0,True,False
48,"López Salas, Pedro",stage1,0.4662250355302532,0.7347526784061181,15.33,84,0,46,589.0,False,False
49,"Gao, Yang (Jack)",stage1,0.46295716804827813,0.8929466257492696,20.51,26,2,49,387.0,True,False
50,"Nguyen, Viet Trung",stage1,0.4435453840011591,0.8830092832407789,19.37,43,0,70,365.0,False,False
51,"Li, Tianyou",stage1,0.39635670822174524,0.886271269779477,19.69,37,3,24,298.0,True,False
52,"Guo, Eric",stage1,0.38641922547683905,0.8555312538609917,22.78,2,2,44,303.0,True,False
53,"Ma, Tiankun",stage1,0.37186960474764175,0.5628130658430984,19.45,41,0,60,649.0,False,False
54,"Wang, Ryan",stage1,0.3456623033610879,0.6070582976668685,17.07,82,0,51,465.0,False,False
55,"Tao, Ziye",stage1,0.3441112268227823,0.7904190025470811,18.41,65,0,43,285.0,False,False
56,"Li, Zhexiang",stage1,0.343278760151105,0.8600534905791279,19.89,32,1,38,248.0,True,False
57,"Zenin, Andrey",stage1,0.33035862199424954,0.7738785794463706,17.78,73,0,38,276.0,False,False
58,"Lin, Hao-Wei",stage1,0.3214469467359747,0.8339035288751622,17.22,81,0,24,235.0,False,False
59,"Onoda, Arisa",stage1,0.31380242150192605,0.7318383638880078,17.63,77,0,40,278.0,False,False
60,"Ignatov, Hasan",stage1,0.29203575285479955,0.8112825989856844,18.51,62,0,41,212.0,False,False
61,"Wong, Victoria",stage1,0.2918432570344488,0.8322415230930713,18.29,69,0,33,204.0,False,False
62,"Shoji, Mana",stage1,0.2831730381694144,0.7696633910361143,18.93,54,0,37,219.0,False,False
63,"Deng, Athena",stage1,0.2805058694114051,0.7466188527643677,17.8,72,0,53,226.0,False,False
64,"Yang, Fanze",stage1,0.27617993736779317,0.9030776225914386,18.95,53,0,31,168.0,False,False
65,"Chen, Xuehong",stage1,0.2692698752677799,0.7837946730021811,20.4,28,1,31,198.0,True,False
66,"Strejcová, Eva",stage1,0.24953281864655186,0.6741239560539258,18.11,70,0,33,221.0,False,False
67,"Zhu, Jingting",stage1,0.2244547066531699,0.8543061991964558,18.33,68,0,21,137.0,False,False
68,"Hu, Xiaoyu",stage1,0.21869052334758235,0.8143372491631704,19.6,39,1,23,141.0,True,False
69,"Chen, Zixi",stage1,0.21762835199178002,0.8890401579141614,20.25,30,1,21,125.0,True,False
70,"U, Chun Lam",stage1,0.21719702166769012,0.5650290333492267,15.79,83,0,25,234.0,False,False
71,"Krzyżowski, Mateusz",stage1,0.19626510377633927,0.7597821707672928,19.03,47,0,20,134.0,False,False
72,"Li, Xiaoxuan",stage1,0.1913546021158315,0.9191423305443353,20.88,19,2,20,102.0,True,False
73,"Ratinov, Anthony",stage1,0.1888893716996212,0.7967058987315018,21.06,14,1,34,120.0,True,False
74,"Li, Luwangzi",stage1,0.1527598036565772,0.6529074106060088,19.03,48,0,28,118.0,False,False
75,"Cheong, Hoi Leong",stage1,0.15037314891564232,0.9128651386354024,19.39,42,0,23,77.0,False,False
76,"Wu, Maiqi",stage1,0.13487396693667583,0.877708995953584,18.66,59,0,21,71.0,False,False
77,"Zhu, Hanyuan",stage1,0.12767161680604858,0.7837378709089184,18.59,60,0,26,76.0,False,False
78,"Gong, Shuguang",stage1,0.10988399997337794,0.8404100845425813,18.91,55,0,16,59.0,False,False
79,"Yu, Yichen",stage1,0.10250883316970744,0.8925127719457329,18.79,57,0,15,51.0,False,False
80,"Yang, Yuanfan",stage1,0.09201875357321086,0.7873642336238512,18.38,67,0,16,52.0,False,False
81,"Deng, Yubo",stage1,0.08510996827719247,0.7410262253354575,19.72,36,1,14,51.0,True,False
82,"Yu, Yuewen",stage1,0.07460727594750811,0.6612312433854588,18.46,64,0,14,50.0,False,False
83,"Mao, Xuanyi",stage1,0.05017627972540957,0.7850566446781156,18.56,61,0,12,27.0,False,False
84,"Zhong, Yonghuan",stage1,0.04414816642825631,0.8039596500220121,17.33,80,0,7,23.0,False,False
