rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
1,"Lu, Eric",stage3,0.8217103512652871,0.840916424623526,23.29,1,1,243,4912.0,True,True
2,"Li, Tianyou",stage3,0.8198227689408529,0.9006361509283697,21.98,4,1,129,2005.0,True,True
3,"Lee, Hyo",stage3,0.8170479925587603,0.8463032628981481,20.79,8,0,258,5407.0,False,True
4,"Wang, Zitong",stage3,0.785827500837904,0.8313996621194406,22.8,2,1,171,2520.0,True,True
5,"Prokopowicz, Yehuda",stage3,0.7785754436032869,0.861831741543522,19.49,19,0,121,1924.0,False,True
6,"Chen, Kevin",stage3,0.7745959576502809,0.7858331224253009,22.36,3,1,171,3477.0,True,True
7,"Shindo, Miyu",stage3,0.7707665729124106,0.8825575085785965,21.06,7,1,297,9756.0,True,True
8,"Lyu, Tianyao",stage3,0.7581578921011914,0.7972822303819762,21.43,5,1,381,6036.0,True,True
9,"Ong, Vincent",stage3,0.749110015879792,0.8683152301053805,20.55,13,1,339,10317.0,True,True
10,"Yang, William",stage3,0.7218811455984421,0.8375431559567338,20.69,11,1,91,1530.0,True,True
11,"Alexewicz, Piotr",stage3,0.7138858266182171,0.7645356404053458,20.74,10,1,163,2329.0,True,True
12,"Khrikuli, David",stage3,0.7075929737211716,0.7821586631044062,20.77,9,1,406,8177.0,True,False
13,"Lee, Hyuk",stage3,0.6624970778815776,0.8209006098417213,20.03,14,0,383,13501.0,False,False
14,"Gao, Yang (Jack)",stage3,0.6376378933103062,0.8310878559615203,19.88,15,0,66,987.0,False,False
15,"Ushida, Tomoharu",stage3,0.6242312355823378,0.8181851680391388,20.58,12,0,294,16352.0,False,False
16,"Pawlak, Piotr",stage3,0.6164332317182565,0.7674767997200002,19.31,20,0,492,13737.0,False,False
17,"Kuwahara, Shiori",stage3,0.5773261004287483,0.8844704082333155,21.36,6,1,501,25163.0,True,False
18,"Wu, Yifan",stage3,0.4419934939051846,0.8366366841846566,19.8,17,0,27,401.0,False,False
19,"Guo, Eric",stage3,0.35611569891480144,0.7326679730687041,19.54,18,0,47,344.0,False,False
20,"Li, Xiaoxuan",stage3,0.262980961299661,0.7965950420792234,19.85,16,0,34,187.0,False,False
