rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
1,"Lyu, Tianyao",stage1,0.6789076365882907,0.6799185208596713,22.06,4,3,242,3923.0,True,True
2,"Khrikuli, David",stage1,0.6743795258749176,0.6907425521969461,20.52,25,3,159,3204.0,True,True
3,"Ong, Vincent",stage1,0.635730115363509,0.6566568499622071,22.07,3,3,152,5292.0,True,True
4,"Wierciński, Andrzej",stage1,0.6329804360568833,0.6596237375533427,19.02,49,0,172,2802.0,False,True
5,"Wang, Zitong",stage1,0.628370093872939,0.6630311675717611,21.03,15,3,189,2566.0,True,True
6,"Kałduński, Adam",stage1,0.6262069959454478,0.6510039692472733,21.44,9,1,324,5558.0,True,True
7,"Lu, Eric",stage1,0.62552303407492,0.6739223902644907,21.82,7,3,350,7062.0,True,True
8,"Chang, Kai-Min",stage1,0.6079711128667389,0.6140224979321753,19.59,40,1,151,3621.0,True,True
9,"Chen, Kevin",stage1,0.5920536928520302,0.6189184419165804,22.93,1,3,285,5788.0,True,True
10,"Strata, Gabriele",stage1,0.5894290987378054,0.693795905024088,19.84,34,1,175,1437.0,True,True
11,"Lee, Hyo",stage1,0.5734382851576626,0.5759867600838136,21.13,12,2,188,3812.0,True,True
12,"Nakashima, Yulia",stage1,0.5711837301047946,0.5749652189265536,17.56,78,0,211,4245.0,False,True
13,"Zhang, Jacky",stage1,0.5613698285781559,0.6628523859649122,20.75,21,1,115,1418.0,True,True
14,"Fan, Yu-Ang",stage1,0.5612922387926589,0.690157730263158,17.71,75,0,113,1208.0,False,True
15,"Yamazaki, Ryota",stage1,0.5528488081549093,0.5796952478568766,17.54,79,0,125,2680.0,False,True
16,"Yang, William",stage1,0.5499041779804934,0.7420238713318283,20.22,31,3,73,886.0,True,True
17,"Hsieh, Wei-Ting",stage1,0.5498680798616997,0.5953056698673983,19.02,50,0,134,2180.0,False,True
18,"Prokopowicz, Yehuda",stage1,0.5480053211280299,0.5991191319107663,20.73,22,2,125,2060.0,True,True
19,"Nishimoto, Yuya",stage1,0.545406412073796,0.5617599315068493,18.84,56,0,141,3063.0,False,True
20,"Basista, Michał",stage1,0.5383973493884123,0.5444844294003868,17.87,71,0,222,3577.0,False,True
21,"Pawlak, Piotr",stage1,0.5322129080811447,0.6329711380709783,20.92,18,2,555,11519.0,True,True
22,"Yamagata, Miki",stage1,0.5304628893339728,0.584624305906108,19.61,38,1,124,1970.0,True,True
23,"Kyomasu, Shushi",stage1,0.5298869149633517,0.5435497804829376,19.3,44,0,119,5008.0,False,True
24,"Ferro, Alberto",stage1,0.5260795863321447,0.6887378198567041,18.98,51,0,91,973.0,False,True
25,"Nakagawa, Yumeka",stage1,0.5256030271732327,0.5468386610804065,19.78,35,1,213,5590.0,True,True
26,"Dubiel, Mateusz",stage1,0.5219735280225792,0.5309224219084295,19.12,46,0,210,4664.0,False,True
27,"Lee, Hyuk",stage1,0.5208743313740335,0.5764178636529348,21.13,13,2,310,8227.0,True,True
28,"Kobayashi, Kaito",stage1,0.5207100148924874,0.5709668307086614,18.96,52,0,95,2026.0,False,True
29,"Sejbuk, Zuzanna",stage1,0.5189290299672074,0.6058849668874172,17.72,74,0,120,1488.0,False,True
30,"Shindo, Miyu",stage1,0.5172758444020769,0.5663033007334963,21.92,6,3,316,7755.0,True,True
31,"Bao, Yanyan",stage1,0.48734058074667974,0.7965962025316455,20.35,29,1,86,542.0,True,True
32,"Rao, Hao",stage1,0.48602368243649013,0.6648080304806564,21.27,10,1,66,851.0,True,True
33,"Cooper, Diana",stage1,0.4764841692999714,0.6064649862511456,18.71,58,0,131,1068.0,False,True
34,"Alexewicz, Piotr",stage1,0.46349995565651003,0.5743377542372881,21.02,16,3,80,1174.0,True,True
35,"Lee, Kwanwook",stage1,0.46085831133449146,0.530617535971223,19.87,33,1,277,10008.0,True,True
36,"Aumiller, Jonas",stage1,0.4591089739273902,0.7758771203155818,20.46,27,1,66,504.0,True,True
37,"Kłeczek, Antoni",stage1,0.44347776713192044,0.7067376724137931,17.64,76,0,65,574.0,False,True
38,"López Salas, Pedro",stage1,0.43346283994871115,0.6831207214765099,15.33,84,0,46,589.0,False,True
39,"Widlarz, Jan",stage1,0.4307705747510268,0.5634028526587888,18.5,63,0,501,16240.0,False,True
40,"Lynov, Philipp",stage1,0.4301214587886596,0.7120601886792454,21.0,17,1,60,527.0,True,True
41,"Milstein, Nathalia",stage1,0.42921136642489766,0.7415641716566866,21.26,11,1,68,481.0,True,False
42,"Ma, Tiankun",stage1,0.4261423831766977,0.6449532258064515,19.45,41,0,60,649.0,False,False
43,"Wu, Yifan",stage1,0.4229714543492804,0.6819308377896613,21.47,8,2,58,559.0,True,False
44,"Shimada, Jun",stage1,0.4202465008534089,0.6580169732441471,19.25,45,0,35,598.0,False,False
45,"Wierciński, Krzysztof",stage1,0.4057528333044762,0.6723010396975425,18.4,66,0,49,526.0,False,False
46,"Jin, Zihan",stage1,0.4050852480337746,0.6814355882352942,20.53,24,1,48,509.0,True,False
47,"Gao, Yang (Jack)",stage1,0.3669147927796208,0.7077011627906977,20.51,26,2,49,387.0,True,False
48,"Wang, Ryan",stage1,0.36441948821280395,0.6399999999999999,17.07,82,0,51,465.0,False,False
49,"Nguyen, Viet Trung",stage1,0.3423496934026409,0.6815491002570694,19.37,43,0,70,365.0,False,False
50,"Micieli, Ruben",stage1,0.33756253144399057,0.5978928884026259,20.61,23,1,59,457.0,True,False
51,"Kuwahara, Shiori",stage1,0.3178243201317511,0.5552425417802537,22.03,5,3,881,33723.0,True,False
52,"Guo, Eric",stage1,0.31757071275133597,0.7031008090614885,22.78,2,2,44,303.0,True,False
53,"Ushida, Tomoharu",stage1,0.3129584689960451,0.5426543933873348,20.81,20,2,584,33203.0,True,False
54,"Li, Zhexiang",stage1,0.27710635875022477,0.6942646000000001,19.89,32,1,38,248.0,True,False
55,"Tao, Ziye",stage1,0.27622475818859754,0.634484668989547,18.41,65,0,43,285.0,False,False
56,"Zenin, Andrey",stage1,0.2639461763654971,0.6183047101449275,17.78,73,0,38,276.0,False,False
57,"Wong, Victoria",stage1,0.26059895611364037,0.743142995169082,18.29,69,0,33,204.0,False,False
58,"Li, Tianyou",stage1,0.25943912498506194,0.5801174496644296,19.69,37,3,24,298.0,True,False
59,"Onoda, Arisa",stage1,0.2544693296350052,0.5934639285714285,17.63,77,0,40,278.0,False,False
60,"Deng, Athena",stage1,0.24781768156300854,0.659613125,17.8,72,0,53,226.0,False,False
61,"Lin, Hao-Wei",stage1,0.24503690344066625,0.6356792016806723,17.22,81,0,24,235.0,False,False
62,"Ignatov, Hasan",stage1,0.2441937177308376,0.6783762331838563,18.51,62,0,41,212.0,False,False
63,"U, Chun Lam",stage1,0.23851711576394646,0.6204923728813557,15.79,83,0,25,234.0,False,False
64,"Shoji, Mana",stage1,0.22704443333640015,0.6171060267857141,18.93,54,0,37,219.0,False,False
65,"Strejcová, Eva",stage1,0.21439922267797978,0.5792089912280702,18.11,70,0,33,221.0,False,False
66,"Yang, Fanze",stage1,0.21353783123196557,0.6982449152542373,18.95,53,0,31,168.0,False,False
67,"Chen, Xuehong",stage1,0.20245149405612373,0.5892987562189055,20.4,28,1,31,198.0,True,False
68,"Hu, Xiaoyu",stage1,0.1959285403833918,0.7295785211267606,19.6,39,1,23,141.0,True,False
69,"Chen, Zixi",stage1,0.18541029509823306,0.7574252,20.25,30,1,21,125.0,True,False
70,"Zhu, Jingting",stage1,0.17740915332629426,0.6752442028985506,18.33,68,0,21,137.0,False,False
71,"Ratinov, Anthony",stage1,0.17158064098405001,0.7237003731343284,21.06,14,1,34,120.0,True,False
72,"Li, Luwangzi",stage1,0.15158851469714998,0.6479012295081967,19.03,47,0,28,118.0,False,False
73,"Krzyżowski, Mateusz",stage1,0.15141703751615915,0.5861661764705883,19.03,48,0,20,134.0,False,False
74,"Li, Xiaoxuan",stage1,0.1286820285916994,0.6181042857142857,20.88,19,2,20,102.0,True,False
